Sample Site,Year,percEPT,percChironom,percMayfly,percCaddisflies,percTricos,HBI,Density,nTricos
LPPC US,2015,18.4,7.6,1.7,16.77,1.394980248,6.57,10107.67,141
LPPC DS,2015,14,2.1,1.5,13.21,0.213719407,6.66,10153.5,21.7
Craig,2015,15.79,22.1,1.1,14.49,0.301739439,6.75,14085,42.5
Dearborn US,2015,61.67,4.1,11.7,49.72,1.79065468,5.22,8432.67,151
Dearborn DS,2015,58.14,5.7,19.8,37.94,5.313957271,5.34,9221,490
Hardy,2015,31.05,13.5,16.4,14.08,1.614659212,6.06,1901.33,30.7
Cascade,2015,13.9,16.5,6.1,7.82,0.978943892,6.33,8509.17,83.3
LPPC US,2016,21.96,22.38,1.6,20.4,0.488282505,6.03,15564.76,76
LPPC DS,2016,65.5,18.23,26.3,38.2,0.304003193,3.58,7565.71,23
Craig,2016,15.12,6.03,0.6,14.5,0.121457528,7.1,10703.33,13
Dearborn US,2016,40.74,12.11,22.9,17.8,1.971511178,5.25,10296.67,203
Dearborn DS,2016,42.59,9.1,6,34.9,0.761118753,5.31,10905,83
Hardy,2016,27.01,21.28,20.4,6.4,3.206896552,5.96,5800,186
Cascade,2016,13.64,30.61,3.8,9.89,0.964828387,6.1,8291.63,80
LPPC US,2017,28.27,12.31,16.09,12.18,9.573721559,5.87,25622.22,2453
LPPC DS,2017,49.45,4,28.46,20.99,5.697133391,4.68,9144.95,521
Craig,2017,30.81,15.21,10.49,20.35,4.541157844,6.09,29155.56,1324
Dearborn US,2017,38.91,13.49,12.12,16.8,2.917038359,5.48,11210,327
Dearborn DS,2017,41.12,9.16,6.02,35.1,0.904059041,5.13,10840,98
Hardy,2017,81.09,4.48,38.81,42.28,15.33938494,5.37,11962.67,1835
Cascade,2017,27.98,30.79,10.54,17.45,3.913831137,6.18,20440.33,800
LPPC US,2018,22.78,7.3,7.79,22.8,3.039229958,5.91,17997.98,547
LPPC DS,2018,77.98,21.26,67.86,27.6,0.123304562,1.9,2433,3
Craig,2018,36.34,6.9,2.4,34,1.306727396,6.37,13774.87,180
Dearborn US,2018,20.17,47.68,13.72,6.5,2.112676588,5.94,13253.33,280
Dearborn DS,2018,59.14,6.77,4.69,54.4,1.10631707,3.71,4248.33,47
Hardy,2018,74.92,15.94,59.37,15.6,7.79025209,4.97,11886.65,926
Cascade,2018,25.95,30.03,10.69,15.3,3.61099268,6.1,18083.67,653
LPPC US,2019,28.28,11.05,7,21,3.433163145,7.35,11563.68,397
LPPC DS,2019,71.94,4.19,41,31,0.411015208,2.25,2433,10
Craig,2019,38.59,17.6,3.4,35,1.353404319,6.47,11822.04,160
Dearborn US,2019,65.9,13.35,21,6.5,1.921921922,4.99,16650,320
Dearborn DS,2019,50.76,13.46,24,41,2.25780263,4.15,2081.67,47
Hardy,2019,70.75,16.09,25,46,9.631187475,5.15,8877.41,855
Cascade,2019,30.13,28.45,14,16,5.297341313,6.1,20066.67,1063
LPPC US,2020,NA,NA,NA,NA,NA,NA,NA,NA
LPPC DS,2020,NA,NA,NA,NA,NA,NA,NA,NA
Craig,2020,NA,NA,NA,NA,NA,NA,NA,NA
Dearborn US,2020,NA,NA,NA,NA,NA,NA,NA,NA
Dearborn DS,2020,NA,NA,NA,NA,NA,NA,NA,NA
Hardy,2020,NA,NA,NA,NA,NA,NA,NA,NA
Cascade,2020,NA,NA,NA,NA,NA,NA,NA,NA
LPPC US,2021,11.5,5.8,5.4,6.1,3.5,7.3,NA,NA
LPPC DS,2021,80.6,14.3,58,22.6,2.6,3.1,NA,NA
Craig,2021,13.8,50.8,5.5,8.3,0.1,6.4,NA,NA
Dearborn US,2021,58.6,33.1,53.4,5.2,30,5,NA,NA
Dearborn DS,2021,71.8,15.3,59.4,12.4,1.4,5,NA,NA
Hardy,2021,70.7,15.9,64,6.7,3.4,5.1,NA,NA
Cascade,2021,9.2,8.8,7.2,1.9,0.5,6.9,NA,NA
LPPC US,2022,58.3,6,17.17,41.1,3.289228398,5.9,12069.70,397
LPPC DS,2022,67.3,3,29.25,38.02,0.069872901,5,14311.70,10
Craig,2022,26.9,17,6.24,20.67,0.865627553,6.7,18483.70,160
Dearborn US,2022,54.5,23,44.38,10.08,3.275902665,5.5,9768.30,320
Dearborn DS,2022,80.3,3,29.66,50.66,0.321064568,4.5,14638.80,47
Hardy,2022,82.6,3,69.78,12.86,6.879128483,4.6,12428.90,855
Cascade,2022,52.4,28,13.42,39.02,8.568296497,6.8,12406.20,1063
LPPC US,2023,25.4,35,14.35,11.10,11.10,7.44,11585.76,
LPPC DS,2023,65.7,4,46.96,18.77,43.00,4.87,9933.22,
Craig,2023,26.9,4,0.99,25.91,0.40,7.4,14430.2,
Dearborn US,2023,54.5,23,44.38,10.08,20.40,5.45,24702.2,
Dearborn DS,2023,52.0,7,25.49,26.52,5.20,4.94,23958.41,
Hardy,2023,68.7,8,55.72,12.96,5.60,5.25,14320.73,
Cascade,2023,44.0,19,23.05,20.91,6.00,6.03,12926.04,
